SKU,Size,Quantity,Price
DC1420-700,6us,1,5978260.87
DC1420-700,5.5us,1,5978260.87
DC1420-700,4.5us,1,5978260.87
DC1420-700,4us,2,5978260.87
CT0979-601,7us,2,8695652.174
CT0979-601,6.5us,1,8695652.174
CT0979-601,6us,3,8695652.174
CT0979-601,5.5us,1,8695652.174
CT0979-601,4.5us,2,8695652.174
DB3610-105,10us,2,8152173.913
DB3610-105,9.5us,2,8152173.913
DB3610-105,9us,3,8152173.913
DB3610-105,8.5us,4,8152173.913
DB3610-105,8us,2,8152173.913
BQ6472-202,6.5us,2,6413043.478
BQ6472-202,6us,2,6413043.478
BQ6472-202,5.5us,3,6413043.478
BQ6472-202,5us,2,6413043.478
BQ6472-202,4.5us,1,6413043.478
BQ6472-202,4us,2,6413043.478
DJ4631-200,9.5us,1,5978260.87
DJ4631-200,9us,1,5978260.87
DJ4631-200,8us,1,5978260.87
553558-123,9.5us,1,4891304.348
553558-123,9us,1,4891304.348
CD0461-100,6us,1,8152173.913
BQ6472-500,7.5us,1,8152173.913
BQ6472-500,7us,1,8152173.913
168302C,8us,2,4891304.348
168302C,7us,2,4891304.348
168302C,6us,1,4891304.348
168302C,5.5us,2,4891304.348
168302C,5us,2,4891304.348
168302C,4us,1,4891304.348
CD0461-001,7us,1,8152173.913
CD0461-001,6.5us,2,8152173.913
CD0461-001,6us,2,8152173.913
CD0461-001,5.5us,1,8152173.913
CD0461-001,5us,3,8152173.913
CD0461-001,4.5us,2,8152173.913
DJ5185-100,8us,1,5978260.87
408452-400,4us,1,7065217.391
