ProvinceName,ProvinceID,ProvinceCode,DistrictName,DistrictCode,DistrictID,WardName,Code,WardCode
An Giang,217,76,Huyện Châu Phú,5108,1758,Xã Bình Long,3,510803
An Giang,217,76,Huyện Châu Phú,5108,1758,Xã Bình Mỹ,4,510804
An Giang,217,76,Huyện Châu Phú,5108,1758,Xã Bình Thủy,6,510806
An Giang,217,76,Huyện Châu Phú,5108,1758,Xã Đào Hữu Cảnh,7,510807
An Giang,217,76,Huyện Châu Phú,5108,1758,Xã Bình Phú,5,510805
An Giang,217,76,Huyện Châu Phú,5108,1758,Xã Bình Chánh,2,510802
An Giang,217,76,Huyện Tịnh Biên,5106,1752,Thị trấn Nhà Bàng,2,510602
An Giang,217,76,Huyện Tịnh Biên,5106,1752,Thị trấn Chi Lăng,1,510601
An Giang,217,76,Huyện Tịnh Biên,5106,1752,Xã Núi Voi,9,510609
An Giang,217,76,Huyện Tịnh Biên,5106,1752,Xã Nhơn Hưng,8,510608
An Giang,217,76,Huyện Tịnh Biên,5106,1752,Xã An Phú,7,510607
An Giang,217,76,Huyện Tịnh Biên,5106,1752,Xã Thới Sơn,12,510612
An Giang,217,76,Huyện Tịnh Biên,5106,1752,Thị trấn Tịnh Biên,3,510603
An Giang,217,76,Huyện Tịnh Biên,5106,1752,Xã Văn Giáo,13,510613
An Giang,217,76,Huyện Tịnh Biên,5106,1752,Xã An Cư,4,510604
An Giang,217,76,Huyện Tịnh Biên,5106,1752,Xã An Nông,6,510606
An Giang,217,76,Huyện Tịnh Biên,5106,1752,Xã Vĩnh Trung,14,510614
An Giang,217,76,Huyện Tịnh Biên,5106,1752,Xã Tân Lợi,11,510611
An Giang,217,76,Huyện Tịnh Biên,5106,1752,Xã An Hảo,5,510605
An Giang,217,76,Huyện Tịnh Biên,5106,1752,Xã Tân Lập,10,510610
An Giang,217,76,Huyện Tri Tôn,5107,1751,Thị trấn Tri Tôn,2,510702
An Giang,217,76,Huyện Tri Tôn,5107,1751,Thị trấn Ba Chúc,1,510701
An Giang,217,76,Huyện Tri Tôn,5107,1751,Xã Lạc Quới,6,510706
An Giang,217,76,Huyện Tri Tôn,5107,1751,Xã Lê Trì,7,510707
An Giang,217,76,Huyện Tri Tôn,5107,1751,Xã Vĩnh Gia,14,510714
An Giang,217,76,Huyện Tri Tôn,5107,1751,Xã Vĩnh Phước,15,510715
An Giang,217,76,Huyện Tri Tôn,5107,1751,Xã Châu Lăng,4,510704
An Giang,217,76,Huyện Tri Tôn,5107,1751,Xã Lương Phi,9,510709
An Giang,217,76,Huyện Tri Tôn,5107,1751,Xã Lương An Trà,8,510708
An Giang,217,76,Huyện Tri Tôn,5107,1751,Xã Tà Đảnh,12,510712
An Giang,217,76,Huyện Tri Tôn,5107,1751,Xã Núi Tô,10,510710
An Giang,217,76,Huyện Tri Tôn,5107,1751,Xã An Tức,3,510703
An Giang,217,76,Huyện Tri Tôn,5107,1751,Xã Cô Tô,5,510705
An Giang,217,76,Huyện Tri Tôn,5107,1751,Xã Tân Tuyến,13,510713
An Giang,217,76,Huyện Tri Tôn,5107,1751,Xã Ô Lâm,11,510711
An Giang,217,76,Huyện Châu Thành,5110,1718,Thị trấn An Châu,1,511001
An Giang,217,76,Huyện Châu Thành,5110,1718,Xã An Hòa,2,511002
An Giang,217,76,Huyện Châu Thành,5110,1718,Xã Cần Đăng,5,511005
An Giang,217,76,Huyện Châu Thành,5110,1718,Xã Vĩnh Hanh,10,511010
An Giang,217,76,Huyện Châu Thành,5110,1718,Xã Bình Thạnh,4,511004
An Giang,217,76,Huyện Châu Thành,5110,1718,Xã Vĩnh Bình,9,511009
An Giang,217,76,Huyện Châu Thành,5110,1718,Xã Bình Hòa,3,511003
An Giang,217,76,Huyện Châu Thành,5110,1718,Xã Vĩnh An,8,511008
An Giang,217,76,Huyện Châu Thành,5110,1718,Xã Hòa Bình Thạnh,6,511006
An Giang,217,76,Huyện Châu Thành,5110,1718,Xã Vĩnh Lợi,11,511011
An Giang,217,76,Huyện Châu Thành,5110,1718,Xã Vĩnh Nhuận,12,511012
An Giang,217,76,Huyện Châu Thành,5110,1718,Xã Tân Phú,7,511007
An Giang,217,76,Huyện Châu Thành,5110,1718,Xã Vĩnh Thành,13,511013
An Giang,217,76,Huyện Chợ Mới,5109,1757,Thị trấn Chợ Mới,1,510901
An Giang,217,76,Huyện Chợ Mới,5109,1757,Thị trấn Mỹ Luông,2,510902
An Giang,217,76,Huyện Chợ Mới,5109,1757,Xã Kiến An,8,510908
An Giang,217,76,Huyện Chợ Mới,5109,1757,Xã Mỹ Hội Đông,16,510916
An Giang,217,76,Huyện Chợ Mới,5109,1757,Xã Long Điền A,10,510910
An Giang,217,76,Huyện Chợ Mới,5109,1757,Xã Tấn Mỹ,18,510918
An Giang,217,76,Huyện Chợ Mới,5109,1757,Xã Long Điền B,11,510911
An Giang,217,76,Huyện Chợ Mới,5109,1757,Xã Kiến Thành,9,510909
An Giang,217,76,Huyện Chợ Mới,5109,1757,Xã Mỹ Hiệp,15,510915
An Giang,217,76,Huyện Chợ Mới,5109,1757,Xã Mỹ An,14,510914
An Giang,217,76,Huyện Chợ Mới,5109,1757,Xã Nhơn Mỹ,17,510917
An Giang,217,76,Huyện Chợ Mới,5109,1757,Xã Long Giang,12,510912
An Giang,217,76,Huyện Chợ Mới,5109,1757,Xã Long Kiến,13,510913
An Giang,217,76,Huyện Chợ Mới,5109,1757,Xã Bình Phước Xuân,4,510904
An Giang,217,76,Huyện Chợ Mới,5109,1757,Xã An Thạnh Trung,3,510903
An Giang,217,76,Huyện Chợ Mới,5109,1757,Xã Hội An,7,510907
An Giang,217,76,Huyện Chợ Mới,5109,1757,Xã Hòa Bình,6,510906
An Giang,217,76,Huyện Chợ Mới,5109,1757,Xã Hòa An,5,510905
An Giang,217,76,Huyện Thoại Sơn,5111,1750,Thị trấn Núi Sập,1,511101
An Giang,217,76,Huyện Thoại Sơn,5111,1750,Thị trấn Phú Hoà,3,511103
An Giang,217,76,Huyện Thoại Sơn,5111,1750,Thị Trấn Óc Eo,2,511102
An Giang,217,76,Huyện Thoại Sơn,5111,1750,Xã Tây Phú,10,511110
An Giang,217,76,Huyện Thoại Sơn,5111,1750,Xã An Bình,4,511104
An Giang,217,76,Huyện Thoại Sơn,5111,1750,Xã Vĩnh Phú,14,511114
An Giang,217,76,Huyện Thoại Sơn,5111,1750,Xã Vĩnh Trạch,15,511115
An Giang,217,76,Huyện Thoại Sơn,5111,1750,Xã Phú Thuận,9,511109
An Giang,217,76,Huyện Thoại Sơn,5111,1750,Xã Vĩnh Chánh,12,511112
An Giang,217,76,Huyện Thoại Sơn,5111,1750,Xã Định Mỹ,6,511106
An Giang,217,76,Huyện Thoại Sơn,5111,1750,Xã Định Thành,7,511107
An Giang,217,76,Huyện Thoại Sơn,5111,1750,Xã Mỹ Phú Đông,8,511108
An Giang,217,76,Huyện Thoại Sơn,5111,1750,Xã Vọng Đông,16,511116
An Giang,217,76,Huyện Thoại Sơn,5111,1750,Xã Vĩnh Khánh,13,511113
An Giang,217,76,Huyện Thoại Sơn,5111,1750,Xã Thoại Giang,11,511111
An Giang,217,76,Huyện Thoại Sơn,5111,1750,Xã Bình Thành,5,511105
An Giang,217,76,Huyện Thoại Sơn,5111,1750,Xã Vọng Thê,17,511117
Bà Rịa – Vũng Tàu,206,,Thành phố Vũng Tàu,5201,1544,Phường 1,1,520101
Bà Rịa – Vũng Tàu,206,,Thành phố Vũng Tàu,5201,1544,Phường Thắng Tam,16,520116
Bà Rịa – Vũng Tàu,206,,Thành phố Vũng Tàu,5201,1544,Phường 2,5,520105
Bà Rịa – Vũng Tàu,206,,Thành phố Vũng Tàu,5201,1544,Phường 3,6,520106
Bà Rịa – Vũng Tàu,206,,Thành phố Vũng Tàu,5201,1544,Phường 4,7,520107
Bà Rịa – Vũng Tàu,206,,Thành phố Vũng Tàu,5201,1544,Phường 5,8,520108
Bà Rịa – Vũng Tàu,206,,Thành phố Vũng Tàu,5201,1544,Phường Thắng Nhì,15,520115
Bà Rịa – Vũng Tàu,206,,Thành phố Vũng Tàu,5201,1544,Phường 7,9,520109
Bà Rịa – Vũng Tàu,206,,Thành phố Vũng Tàu,5201,1544,Phường Nguyễn An Ninh,12,520112
Bà Rịa – Vũng Tàu,206,,Thành phố Vũng Tàu,5201,1544,Phường 8,10,520110
Bà Rịa – Vũng Tàu,206,,Thành phố Vũng Tàu,5201,1544,Phường 9,11,520111
Bà Rịa – Vũng Tàu,206,,Thành phố Vũng Tàu,5201,1544,Phường Thắng Nhất,14,520114
Bà Rịa – Vũng Tàu,206,,Thành phố Vũng Tàu,5201,1544,Phường Rạch Dừa,13,520113
Bà Rịa – Vũng Tàu,206,,Thành phố Vũng Tàu,5201,1544,Phường 10,2,520102
Bà Rịa – Vũng Tàu,206,,Thành phố Vũng Tàu,5201,1544,Phường 11,3,520103
Bà Rịa – Vũng Tàu,206,,Thành phố Vũng Tàu,5201,1544,Phường 12,4,520104
Bà Rịa – Vũng Tàu,206,,Thành phố Vũng Tàu,5201,1544,Xã Long Sơn,17,520117
